As2000 Simbols Table
#vb1;VbEnableCamme;Comando di abilitazione camme ( globale )
#vb2;Vb2_C1_Apritensione;Vb attivazione apritenzione cucitrice 1
#vb3;Vb3_C2_Apritensione;Vb attivazione apritenzione cucitrice 2
#vb4;Vb4_C1_InCucitura;Vb a On quando sono in cucitura e gira l'ago
#vb5;Vb5_C2_InCucitura;Vb a On quando sono in cucitura e gira l'ago
#vb6;Vb6_PinzeOkTestManut;Vb a On quando le pinze dei caricatori e cucitrici sono posizionate bene per manutenzione
#vb7;Vb7_TestManutRun;Vb a On quando sono in ciclo manutenzione
#vb8;Vb8_ExitAutomatico;Vb a On quando sono fermo con tutti i programmi e posso uscire dall'automatico per liberare l'hmi
#vb9;Vb9_ChiudePiegatore4;chiudo il piegatore 4 prima che arrivi la pinza del caricatore va a sbattere
#vb10;Vb10_StepResetCanale3;fatto per gestire lo stop nella macchina a stati canale 3
#vb11;Vb11_StepResetCanale3_1;fatto per gestire lo stop nella macchina a stati canale 3 messa a on per gestire lo step piegatore
#vb12;Vb12_StepResetCanale3_2;fatto per gestire lo stop nella macchina a stati canale 3 messa a on per gestire lo step traslatore
#vb13;Vb13_C1_BloccoFiloINI;Vb attivazione blocco filo inizio cucitura cucitrice 1
#vb14;Vb14_C1_BloccoFiloEND;Vb attivazione blocco filo fine cucitura cucitrice 1
#vb15;Vb15_C2_BloccoFiloINI;Vb attivazione blocco filo inizio cucitura cucitrice 2
#vb16;Vb16_C2_BloccoFiloEND;Vb attivazione blocco filo fine cucitura cucitrice 2
#vb20;Vb20_ResetContapezziUser;Vb reset contatore pezzi
#vb21;Vb21_Tasca_dx_sx;ON = Attiva alternanza programma Dx e Sx
#vb22;Vb22_device_lentezza_tasca;ON = attivo
#vb23;Vb23_CmdRaffreddamentoAgo_C1;Vb comando raffreddamento ago
#vb24;Vb24_CmdRaffreddamentoAgo_C2;Vb comando raffreddamento ago
#vb30;Vb30_C1_InCucitura;=1 sono all'iterno di una cucitura (anche se sono in HOLD)
#vb31;Vb31_C2_InCucitura;=1 sono all'iterno di una cucitura (anche se sono in HOLD)
#vb32;Vb32_C1_StopCucitura;=1 è stata fermata la cucitura (Stop o rottura filo)
#vb33;Vb33_C2_StopCucitura;=1 è stata fermata la cucitura (Stop o rottura filo)
#vb34;Vb34_FinitoCucitura_C1;=1 è finita la cucitura
#vb35;Vb35_FinitoCucitura_C2;=1 è finita la cucitura
#vb36;Vb36_Clear_OPT1;=1 clear uscita OPT1 (retrattile)
#vb37;Vb37_Clear_OPT2;=1 clear uscita OPT2 (ranocchia)
#vb38;Vb38_Clear_OPT3;=1 clear uscita OPT3 (salto piedino)
#vb39;Vb39_Clear_OPT1_C2;=1 clear uscita OPT1
#vb40;Vb40_Clear_OPT2_C2;=1 clear uscita OPT2
#vb41;Vb41_Clear_OPT3_C2;=1 clear uscita OPT3 (salto piedino)
#vb42;Vb42_PrimaTasca_C1;=1 macchina appena accesa e non ho mai cucito
#vb43;Vb43_TestCuciPrimaTasca_C1;=1 ho premuto test cucitura sulla prima tasca senza mai aver cucito
#vb44;Vb44_PrimaTasca_C2;=1 macchina appena accesa e non ho mai cucito
#vb45;Vb45_TestCuciPrimaTasca_C2;=1 ho premuto test cucitura sulla prima tasca senza mai aver cucito
#vb50;MacchinaAzzerata;Flag macchina azzerata
#vb51;RichiestaStartCuci2;Richiesta di start cucitrice 2
#vb52;Vb52RichiestaZeroAxDaHmiC1;Richiesta di azzeramento pinza X + Y da parte dell'interfaccia C1
#vb53;Vb53RichiestaZeroAxDaHmiC2;Richiesta di azzeramento pinza X + Y da parte dell'interfaccia C2
#vb54;Vb54HmiDiag_XP_YP_C1;Richiesta di diagonale hmi X POSITIVO Y POSITIVO C1
#vb55;Vb55HmiDiag_XP_YM_C1;Richiesta di diagonale hmi X POSITIVO Y NEGATIVO C1
#vb56;Vb56HmiDiag_XM_YP_C1;Richiesta di diagonale hmi X NEGATIVO Y POSITIVO C1
#vb57;Vb57HmiDiag_XM_YM_C1;Richiesta di diagonale hmi X NEGATIVO Y NEGATIVO C1
#vb58;Vb58HmiDiag_XP_YP_C2;Richiesta di diagonale hmi X POSITIVO Y POSITIVO C2
#vb59;Vb59HmiDiag_XP_YM_C2;Richiesta di diagonale hmi X POSITIVO Y NEGATIVO C2
#vb60;Vb60HmiDiag_XM_YP_C2;Richiesta di diagonale hmi X NEGATIVO Y POSITIVO C2
#vb61;Vb61HmiDiag_XM_YM_C2;Richiesta di diagonale hmi X NEGATIVO Y NEGATIVO C2
#vb62;Vb62HmiJogXP_C1;Richiesta jog + asse X C1
#vb63;Vb63HmiJogXM_C1;Richiesta jog - asse X C1
#vb64;Vb64HmiJogYP_C1;Richiesta jog + asse Y C1
#vb65;Vb65HmiJogYM_C1;Richiesta jog - asse Y C1
#vb66;Vb66HmiJogXP_C2;Richiesta jog + asse X C2
#vb67;Vb67HmiJogXM_C2;Richiesta jog - asse X C2
#vb68;Vb68HmiJogYP_C2;Richiesta jog + asse Y C2
#vb69;Vb69HmiJogYM_C2;Richiesta jog - asse Y C2
#vb70;Vb70BilanciereSu_RigheCN;=1 nel ciclo Righe, se premo la pedana si alza il bilanciere
#vb72;Vb72HmiMoveXY_C1;Richiesta di spostamento assi XY da Modifica_programmi.java
#vb73;Vb73HmiMoveXY_C2;Richiesta di spostamento assi XY da Modifica_programmi.java
#vb74;Vb74HmiMoveXY_PieAlto_C1;Richiesta di spostamento assi XY da Modifica_programmi.java con piedino alto
#vb75;Vb75HmiMoveXY_PieAlto_C2;Richiesta di spostamento assi XY da Modifica_programmi.java con piedino alto
#vb76;Vb76EnableCucitureInfinite_C1;=1 fa cuciture infinite
#vb77;Vb77EnableCucitureInfinite_C2;=1 fa cuciture infinite
#vb78;Vb78SetVelManualeAsseAgo_C1;=1 setta la velocità manuale nei parametri assi dell'ago
#vb79;Vb79SetVelManualeAsseAgo_C2;=1 setta la velocità manuale nei parametri assi dell'ago
#vb80;Vb80ShowIconaTools;=1 permette a HMI di mostrare l'icona per andare alla pagina tools
#vb81;Vb81PremutoResetAccensione;=1 se premo il verde mentre il pulsante reset piegatore è premuto
#vb82;Vb82FaiFuoriIngombroY_C1;= 1 durante azzeramento la pinza prima si muove in Y in dietro
#vb83;Vb83PiegatoreRisalito;=1 il sensore nuovo ha rilevato che il piegatore si è sollevato abbastanza per far avanzare il caricatore
#vb84;Vb84AbilitaSensAltoPieg;=1 abilitia la lettura sel sensore alto piegatore
#vb85;Vb85debug;=1 abilitia la lettura sel sensore alto piegatore
#vb86;Vb86In_Azzeramento_C1;=1 sto facendo azzeramento C1
#vb87;Vb87In_Azzeramento_C2;=1 sto facendo azzeramento C2
#vb88;Vb88_TascaC1Completata;=1 la tasca C1 è stata cucita e la pinza è tornata sul punto di carico
#vb89;Vb89_TascaC2Completata;=1 la tasca C2 è stata cucita e la pinza è tornata sul punto di carico
#vb90;Vb90_EnableAutoBobbinChang;=1 Auto bobbin changer attivo
#vb91;Vb91_RunCambioSpola;=1 Ciclo Togli e metti spola
#vb92;Vb92_CambiatoRevolver;= 1 l'operatore ha messo un revolver nuovo, 2 = tutti posti vuoti
#vb93;Vb93_RotazRevolver;= 1 il revolver fa un passo di rotazione
#vb94;Vb94_Cambiare_revolver;=1 è ora di cambiare il revolver
#vb95;Vb95_ResetConteggio;tasto Reset HMI rimette il conteggio 1/7
#vb96;Vb96_AnticipoTrasl_SX;=1 anticipo il movimento del traslatore a sx sopra le pinze di cucitura della testa 1
#vb97;Vb97_RiseScaricatoreAttivo;= 1 è un rise che mi dice che lo scaricatore è attivo ed è arrivato il segnale di fine cucitura
#vb99;VbTest;per test
#vb100;VbSimulaDbg;Cucitrice simulata ( per debugger )
#vb101;VbSyncDbg;Variabile di sync ( per debugger )
#vb102;VbSimulazionePedanaC1;alza e abbassa le pinze tramite vb come se premessi la pedana
#vb103;VbSimulazionePedanaC2;alza e abbassa le pinze tramite vb come se premessi la pedana
#vb115;Vb115CricchettoRinforzo;ad ON lancia il ciclo per inserire la fettuccia nei rulli
#vb116;Vb116RinforzoGiu_HMI;ad ON HMI chiede al PLC di abbassare i coltelli del rinforzo
#vb151;Vb151EnableCarPattine;=1 device caricatore pattina attivo
#vb152;Vb152KitCarPAttine;=1 il kit carica pattina è attivo (tasto HMI)
#vb153;Vb153GoCicloCarPAttina;=1 fa partire un ciclo carica pattina
#vb154;Vb154CarInPosAltaOK;= 1 indica che il caricatore è in posiazione alta
#vb155;Vb155LasciaPattina;=1 il CN permette al PLC di lasciare la pattina
#vb156;Vb156PattinaScaricata;=1 il PLC indica al CN che la pattina è stata scaricata e può partire a cucire
#vb157;Vb157PattinaPassoPasso;=1 attivo ciclo passo passo pattina
#vb158;Vb158PattinaTestRunning;=1 il ciclo piattina test sta girando
#vb159;Vb159PattinaTestRunning;=1 il ciclo piattina test sta girando
#vb160;Vb160PartiACucire;=1 il plc avverte il CN che la pattina è stata caricata e bloccata, ora può effettuare la prima cucitura
#vb170;Vb170KitTascaCargo;=1 attivo il kit tasca cargo
#vb171;Vb_Fun301_run;
#vb172;Vb_3SchedeIOBelli;=1 è una 882 con solo 3 schede IO fatte da Belli (NB in Argentina la prima 882 ne aveva 4 quindi questa vb va tenuta a false)
#vb201;Vb_ingresso_Pulsanti_start;i1
#vb202;Vb_ingresso_C1_Pedana;i2
#vb203;Vb_ingresso_C1_PedanaPiegatore;i3
#vb204;Vb_ingresso_C1_FcZeroCrochet;
#vb205;Vb_ingresso_FcPinzaCaricoAlta;
#vb206;Vb_ingresso_FcMinCaricatore1;
#vb207;Vb_ingresso_FcPiegatore_AV;
#vb208;Vb_ingresso_FcPiegatore_DI;
#vb209;Vb_ingresso_FcPiegatoreBasso;
#vb210;Vb_ingresso_10;
#vb211;Vb_ingresso_FcLancia_DI;
#vb212;Vb_ingresso_Bilanciere_Alto;
#vb213;Vb_ingresso_Bilanciere_Basso;
#vb214;Vb_ingresso_Rinforzo_Attivo;
#vb215;Vb_ingresso_Rinforzo_ready;
#vb216;Vb_ingresso16;
#vb217;Vb_ingresso17;
#vb218;Vb_ingresso18;
#vb219;Vb_ingresso_C1_FcMinAsseX;
#vb220;Vb_ingresso_C1_FcMinAsseY;
#vb221;Vb_ingresso_Emg;
#vb222;Vb_ingresso_C1_FcZeroAgo;
#vb223;Vb_ingresso_C1_PinzaIntBassa;
#vb224;Vb_ingresso_C1_PinzaEstAlta;
#vb225;Vb_ingresso_PulsResetFolder;
#vb226;Vb_ingresso_C1_PulsStopTesta;
#vb227;Vb_ingresso_C2_PulsStopTesta_suC1;
#vb228;Vb_ingresso28;
#vb229;Vb_ingresso29;
#vb230;Vb_ingresso30;
#vb231;Vb_ingresso_C1_ReadyAsseX;
#vb232;Vb_ingresso_C1_ReadyAsseY;
#vb233;Vb_ingresso_C2_Pedana;
#vb234;Vb_ingresso34;
#vb235;Vb_ingresso_Pressostato;
#vb236;Vb_ingresso36;
#vb237;Vb_ingresso37;
#vb238;Vb_ingresso38;
#vb239;Vb_ingresso39;
#vb240;Vb_ingresso_C2_FcZeroAgo;
#vb241;Vb_ingresso_C2_FcPinzaIntBassa;
#vb242;Vb_ingresso_FcPinzaTraslAlta;
#vb243;Vb_ingresso43;
#vb244;Vb_ingresso44;
#vb245;Vb_ingresso_C2_PulsStopTesta;
#vb246;Vb_ingresso46;
#vb247;Vb_ingresso_C2_ReadyAsseX;
#vb248;Vb_ingresso_C2_ReadyAsseY;
#vb249;Vb_ingresso_CarPat_Top_SUGIu;
#vb250;Vb_ingresso_CarPat_Middle_SUGIu;
#vb251;Vb_ingresso_CarPat_Bottom_SUGIu;
#vb252;Vb_ingresso_CarPat_Tastatore;
#vb253;Vb_ingresso_CarPat_Empty;
#vb254;Vb_ingresso_CarPat_BackPos;
#vb255;Vb_ingresso_CarPat_SpoLamLungoL;
#vb256;Vb_ingresso_CarPat_SpoLamLungoR;
#vb257;Vb_ingresso_CarPat_SpoLamCortoL;
#vb258;Vb_ingresso_CarPat_SpoLamCortoR;
#vb259;Vb_ingresso59;
#vb260;Vb_ingresso60;
#vb261;Vb_ingresso61;
#vb262;Vb_ingresso62;
#vb263;Vb_ingresso63;
#vb264;Vb_ingresso64;
#vb300;Vb300;
#vb301;Vb301;
#vb302;Vb302;
#vb303;Vb303;
#vb304;Vb304;
#vb305;Vb305;
#vb306;Vb306;
#vb307;Vb307;
#vb308;Vb308;
#vb309;Vb309;
#vb310;Vb310;
#vb311;Vb311;
#vb312;Vb312;
#vb313;Vb313;
#vb314;Vb314;
#vb315;Vb315;
#vb316;Vb316;
#vb317;Vb317;
#vb4000;Vb4000_Automatico;/// messa a ON da HMI sono in automatico
#vb4001;Vb4001_StepPiegatore;/// messa a ON da HMI il piegatore è passo passo
#vb4002;Vb4002_StepPiegatoreStop;/// punto di stop piegatore
#vb4003;Vb4003_RqsStopPiegatore;/// richiesta di stop piegatore al CN
#vb4004;Vb4004_AvvioPiegatore;/// avvio il piegatore da plc
#vb4005;Vb4005_AvvioCaricatore;/// avvio il caricatore da plc
#vb4006;Vb4006_StepTraslatore;/// messa a ON da HMI il traslatore è passo passo
#vb4007;Vb4007_MemoriaAvviaCaric;/// memorizzo che ho premuto start e quindi appena possibile il caricatore può avanzare
#vb4008;Vb4008_AgoSu_C1;/// riporta l'ago C1 nella posizione alta
#vb4009;Vb4009_AgoSu_C2;/// riporta l'ago C2 nella posizione alta
#vb4010;Vb4010_PrgPiegatoreRun;finchè gira il ciclo piegatore nel cn questa vb = ON
#vb4011;Vb4011_TascaOk;
#vb4012;Vb4012_FlagTascaPronta;a ON tasca pronta per caricare
#vb4013;Vb4013_DisableLancia;finchè è a ON Blocco il pedale della lancia
#vb4014;Vb4014JogFastSlow;hmi = 0 Jog normale(fast) =1 Jog Lento
#vb4015;Vb4015_PrgCaricatoreRun;finchè gira il ciclo caricatore nel cn questa vb = ON
#vb4016;Vb4016_PrgTraslatoreRun;se il traslatore è in una fase di movimento questa vb = ON
#vb4017;Vb4017_AttesaTascaIsRunning;il ciclo di attesa tasca in CicloAutomatico sta girando
